first_order_month	0	1	2	3	4	5	6	7	8	9	10	11
2016-06-01	4.5212282701624105	5.008700484468481	5.393131946423454	6.47101738387002	7.960188087774264	9.180173838700453	10.228444001139895	11.147101738386974	12.00338273012251	12.888218865773693	13.702998005129635	14.083616414932997
2016-07-01	5.782764782326158	6.039990253411278	6.579298245614007	6.909597141000622	7.06072774528912	7.181127355425573	7.284376218323558	7.418161143599711	7.582160493827132	7.714230019493149	7.830588044184507	
2016-08-01	5.27595792300804	6.276042972247074	6.715008952551461	7.057587287376887	7.495666965085033	7.853504923903296	8.110299910474469	8.41735452103848	8.713012533572051	8.85374664279318		
2016-09-01	5.292594594594556	6.230312039312002	6.679921375921339	9.306012285012248	9.58748648648645	10.031054054054017	10.597203931203895	10.774253071253035	10.90957002456999			
2016-10-01	4.7206997474371635	5.177541227157859	5.335057198038858	5.466902391917925	5.582130441241948	5.687174268310734	5.777988411825814	5.876939533501642				
2016-11-01	5.192461766156796	5.514116099325683	5.695055089623332	5.965066600887926	6.0975037000492485	6.161147837526637	6.252234829797645					
2016-12-01	4.513964416058329	4.719388686131321	5.368448905109423	6.095568734793122	6.3139355231142895	6.544779501216479						
2017-01-01	4.0480130486358	4.310498220640546	4.5600118623961805	4.675452748121764	4.726757611704207							
2017-02-01	4.098143800440164	4.31110051357296	4.38123257520172	4.4455502567864595								
2017-03-01	4.538260118933398	4.792374832150356	5.210153462497566									
2017-04-01	4.606893175074165	5.017605341246273										
2017-05-01	4.583220914440888											
2017-06-01	10.325											
